,ID_FA,title,original_title,year,duration,country,director,actors,genre,description,awards,average_rating,rating_votes,reviews,poster,my_vote
0,602893,La melodía de Broadway,The Broadway Melody,1929,110 min.,Estados Unidos,Harry Beaumont,"['Charles King', 'Anita Page', 'Bessie Love', 'Jed Prouty', 'Kenneth Thomson', 'Edward Dillon', 'Mary Doran', 'Eddie Kane', 'J. Emmett Beck']","['Musical', 'Romance', 'Comedia']","Queenie y Hank son dos hermanas que buscan triunfar en Broadway como cantantes y bailarinas. Queenie se enamora de Eddie Kearns, pero él prefiere a Hank, y se vuelven pareja. Con la ayuda de Eddie empiezan una carrera en los escenarios de vodevil... El primer gran musical de la historia del cine (recién estrenado el cine sonoro, en 1927) obtuvo el Oscar a la mejor película (recién creados los premios de la Academia en 1928). (FILMAFFINITY)",['1928: Oscar: Mejor película. 3 nominaciones'],"5,9",482,10,./images_FA/the_broadway_melody-974223234-large.jpg,
1,415986,Alas,Wings,1927,138 min.,Estados Unidos,William A. Wellman,"['Clara Bow', ""Charles 'Buddy' Rogers"", 'Richard Arlen', 'Gary Cooper', 'Jobyna Ralston', 'El Brendel', 'Arlette Marchal']","['Bélico', 'Acción', 'Drama', 'Años 1910-1919', 'I Guerra Mundial', 'Aviones', 'Ejército', 'Amistad', 'Cine mudo']","Drama bélico que ha pasado a la historia por ser el primer film que ganó el Oscar a la mejor película, el año de la creación de los premios de la Academia americana (años 1927-1928). (FILMAFFINITY)",['1927: 2 Oscars: Mejor película y Efectos especiales'],"7,3",1.363,23,./images_FA/wings-603432841-large.jpg,
2,116361,La coartada (Alibi),Alibi,1929,91 min.,Estados Unidos,Roland West,"['Chester Morris', 'Harry Stubbs', 'Mae Busch', 'Eleanore Griffith', 'Regis Toomey']","['Drama', 'Crimen', 'Mafia', 'Policíaco', 'Melodrama']","Chick Williams desea vengarse de quien lo envió a prisión, así cuando recupera su libertad retorna a su antigua banda para planear el crimen. Invita a la hija de un policía al cine y mientras están en plena función se escabulle, comete el asesinato, regresando con la chica y convirtiéndola en su coartada. (FILMAFFINITY)","['1928: 3 nominaciones al Oscar: Mejor película, actor (Chester Morris), dirección artística']",,,0,./images_FA/alibi-628810572-large.jpg,
3,660458,En el viejo Arizona,In Old Arizona,1928,95 min.,Estados Unidos,Irving Cummings,"['Warner Baxter', 'Edmund Lowe', 'Dorothy Burgess', 'Tom Smith', 'Joe Brown', 'J. Farrell MacDonald', 'Tom London', 'Edward Peil Sr.', 'Henry Armetta', 'Charles Sullivan', 'Evelyn Selbie', 'Blackjack Ward', 'Jim Farley', 'Tom Santschi', 'James A. Marcus', 'Roy Stewart']",['Western'],"Cisco Kid (Warner Baxter) es un bandido del Viejo Oeste que anda siempre escapando del sheriff del lugar, Mickey Dunn (Edmund Lowe). El problema viene cuando ambos se enamoran de la misma mujer, Tonia (Dorothy Burgess), la cual ayudará a Dunn a capturar a Cisco Kid, vivo o muerto. (FILMAFFINITY)","['1928: 1 Oscar: Mejor actor (Baxter), 5 nom., a Mejor película, guión, director y fot.']","5,6",52,2,./images_FA/in_old_arizona-995252878-large.jpg,
4,309182,The Hollywood Revue of 1929,The Hollywood Revue of 1929,1929,118 min.,Estados Unidos,Charles Reisner,"['Conrad Nagel', 'Buster Keaton', 'Jack Benny', 'John Gilbert', 'Marion Davies', 'Norma Shearer', 'William Haines', 'Joan Crawford', 'Bessie Love', 'Marie Dressler', 'Cliff Edwards', 'Charles King', 'Stan Laurel', 'Polly Moran', 'Oliver Hardy']",['Musical'],Musical por donde irán desfilando los grandes actores de la época. (FILMAFFINITY),['1929: Oscar: Nominada a la Mejor Película'],"5,0",27,0,./images_FA/the_hollywood_revue_of_1929-338377848-large.jpg,
5,472913,El patriota,The Patriot,1928,113 min.,Estados Unidos,Ernst Lubitsch,"['Emil Jannings', 'Florence Vidor', 'Lewis Stone', 'Vera Voronina', 'Neil Hamilton', 'Harry Cording', 'Carmencita Johnson', 'Tullio Carminati']",['Drama'],"El zar Pablo I de Rusia sólo confía en el conde Pahlen; éste le defiende, pero los actos terroríficos ejecutados por el zar le hacen pensar la posibilidad de apartarlo del trono. Stefan, un guardia humillado por el zar se une a la conspiración. (FILMAFFINITY)",['1928: Oscar: Mejor guión adaptado. 4 Nominaciones'],,,0,./images_FA/the_patriot-791348199-large.jpg,
6,205142,El séptimo cielo,Seventh Heaven (7th Heaven),1927,110 min.,Estados Unidos,Frank Borzage,"['Janet Gaynor', 'Charles Farrell', 'Gladys Brockwell', 'David Butler', 'Ben Bard', 'Albert Gran', 'Marie Mosquini']","['Drama', 'Melodrama', 'Cine mudo']","Chico (Charles Farrell) es un joven que trabaja en la limpieza de las alcantarillas de Paris. Diane (Janet Gaynor) es una chica muy desgraciada que es víctima de los abusos de su atrabiliaria hermana mayor. Un día, mientras ésta la golpea, Chico la rescata y se la lleva a vivir con él a su buhardilla, en el séptimo piso de un edificio de Montmartre. (FILMAFFINITY)","['1927: 3 Oscars: Mejor actriz (Janet Gaynor), guión adaptado, director. 4 nominaciones']","7,8",1.341,14,./images_FA/seventh_heaven_7th_heaven-660930940-large.jpg,
7,821041,La horda,The Racket,1928,84 min.,Estados Unidos,Lewis Milestone,"['Thomas Meighan', 'Louis Wolheim', 'Marie Prevost', 'Pat Collins', 'Henry Sedley', 'Walter Brennan']","['Cine negro', 'Intriga', 'Crimen', 'Cine mudo']","Cine negro. Estuvo nominada al Óscar a la mejor película, en la primera edición de los premios de la Academia.  El protagonista es el capitán McQuigg (Thomas Meighan), un honrado policía irlandés de Chicago. (FILMAFFINITY)",['1927: Nominada al Oscar: Mejor película'],"6,3",81,1,./images_FA/the_racket-106449642-large.jpg,
8,483290,Vive como quieras,You Can't Take it With You,1938,126 min.,Estados Unidos,Frank Capra,"['James Stewart', 'Jean Arthur', 'Lionel Barrymore', 'Edward Arnold', 'Mischa Auer', 'Ann Miller', 'Spring Byington', 'Ward Bond']","['Comedia', 'Comedia sofisticada']","Alice Sycamore, la única persona con un poco de cordura en una familia llena de lunáticos, se enamora de su jefe, Tony Kirby, que pertenece a una familia muy rica y muy cursi. La diferencia entre el estilo de vida y la mentalidad de ambas familias se agudiza cuando los padres de él van a cenar a casa de ella, y la cena termina con la llegada de la policía y la detención de todos los presentes, acusados de anarquistas. (FILMAFFINITY)","['1938: 2 Oscars: Mejor película, director (Frank Capra). 7 nominaciones']","8,1",7.570,64,./images_FA/you_can_t_take_it_with_you-642701189-large.jpg,
9,198579,La vida de Émile Zola,The Life of Emile Zola,1937,116 min.,Estados Unidos,William Dieterle,"['Paul Muni', ""Henry O'Neill"", 'Joseph Schildkraut', 'Gale Sondergaard', 'Gloria Holden', 'Donald Crisp', 'Louis Calhern', 'Robert Barrat']","['Drama', 'Biográfico', 'Histórico', 'Basado en hechos reales', 'Drama judicial', 'Años 1900 (circa)']","Biografía del famoso escritor francés Emile Zola, que incide especialmente en su participación en el famoso ""Caso Dreyfuss"", que puso en jaque al ejército francés. (FILMAFFINITY)","['1937: 3 Oscars: Mejor película, actor sec. (Joseph Schildkraut), guión. 10 nomin.', '1937: Círculo de críticos de Nueva York: Mejor película y actor (Paul Muni)']","7,1",818,19,./images_FA/the_life_of_emile_zola-956734221-large.jpg,
